time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-14T10:45:57.274Z,35.5021,140.1716,68.456,4.9,mb,79,109,1.899,1,us,us6000nyk2,2024-10-16T20:01:14.245Z,"8 km ESE of Ichihara, Japan",earthquake,7.26,6.621,0.05,126,reviewed,us,us
2024-10-14T07:40:09.894Z,-17.7479,-179.9459,614.52,4.9,mb,102,34,1.423,0.76,us,us6000nyjf,2024-10-14T08:11:00.040Z,"85 km ENE of Levuka, Fiji",earthquake,11.83,7.671,0.026,462,reviewed,us,us
2024-10-14T03:21:51.073Z,-20.1889,-69.3359,101.14,4.6,mwr,40,58,0.178,0.62,us,us6000nyim,2024-10-14T23:56:03.998Z,"37 km ENE of La Tirana, Chile",earthquake,5.47,3.978,0.086,13,reviewed,us,us
2024-10-13T22:48:35.178Z,-35.9897,-100.5649,10,5.5,mww,72,121,11.569,0.77,us,us6000nyhx,2024-10-14T22:51:36.555Z,"southeast of Easter Island",earthquake,12.78,1.902,0.098,10,reviewed,us,us
2024-10-13T22:35:58.101Z,-3.8687,87.1597,10,4.6,mb,37,184,12.807,0.76,us,us6000nyhv,2024-10-13T22:57:07.040Z,"South Indian Ocean",earthquake,15.73,1.938,0.1,30,reviewed,us,us
2024-10-13T17:04:18.476Z,51.8956,178.1216,144.204,4.6,mb,55,165,0.285,0.56,us,us6000nygi,2024-10-14T12:53:53.876Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,11.44,6.718,0.033,270,reviewed,us,us
2024-10-13T16:17:36.261Z,-59.2495,149.3445,10,5,mww,20,117,7.091,0.52,us,us6000nygc,2024-10-15T13:47:08.040Z,"west of Macquarie Island",earthquake,12.91,1.349,0.08,15,reviewed,us,us
2024-10-13T11:36:31.858Z,23.9662,121.6155,21.458,5.1,mb,66,69,0.207,0.67,us,us6000nyf8,2024-10-16T20:03:34.133Z,"1 km SE of Hualien City, Taiwan",earthquake,3.9,3.212,0.062,84,reviewed,us,us
2024-10-13T07:24:34.209Z,-33.7078,-178.55,10,4.5,mb,18,248,4.62,0.74,us,us6000nyej,2024-10-13T08:50:42.040Z,"south of the Kermadec Islands",earthquake,13.29,1.999,0.14,15,reviewed,us,us
2024-10-13T07:01:42.061Z,5.3951,94.3026,55.193,5.3,mww,80,65,5.333,0.92,us,us6000nyee,2024-10-13T07:19:48.040Z,"115 km W of Banda Aceh, Indonesia",earthquake,9.72,6.22,0.11,8,reviewed,us,us
2024-10-13T06:15:26.004Z,-36.374,-98.1045,10,5.1,mb,58,80,13.267,0.86,us,us6000nye7,2024-10-15T13:30:43.040Z,"southeast of Easter Island",earthquake,12.71,1.897,0.044,166,reviewed,us,us
2024-10-13T04:37:50.770Z,8.8276,40.141,10,4.6,mb,30,253,3.782,0.69,us,us6000nyds,2024-10-18T09:37:23.050Z,"17 km S of Āwash, Ethiopia",earthquake,8.82,1.998,0.114,23,reviewed,us,us
2024-10-13T03:31:49.400Z,57.1904,120.7767,10,4.6,mb,44,140,5.03,0.74,us,us6000nydn,2024-10-13T04:16:05.040Z,"155 km E of Chara, Russia",earthquake,9.67,1.927,0.099,30,reviewed,us,us
2024-10-12T23:36:29.739Z,80.287,-111.1822,10,4.6,mb,94,54,6.605,1,us,us6000nycn,2024-10-13T00:19:06.040Z,"Arctic Ocean",earthquake,10.04,1.883,0.057,92,reviewed,us,us
2024-10-12T23:35:34.790Z,-57.8928,-24.8993,10,4.5,mb,21,133,7.421,0.91,us,us6000nycp,2024-10-13T00:26:45.040Z,"South Sandwich Islands region",earthquake,12.91,1.908,0.121,20,reviewed,us,us
2024-10-12T23:30:25.084Z,40.7337,84.3408,10,4.6,mb,31,109,4.449,1.17,us,us6000nycl,2024-10-12T23:48:07.040Z,"160 km SE of Kuqa, China",earthquake,6.12,1.92,0.158,13,reviewed,us,us
2024-10-12T22:42:29.084Z,-7.6191,128.4075,101.05,5,mb,57,72,5.843,0.83,us,us6000nycb,2024-10-12T23:02:51.040Z,"184 km ENE of Lospalos, Timor Leste",earthquake,10.82,6.818,0.079,51,reviewed,us,us
2024-10-12T21:53:01.095Z,17.271,-101.1611,10,4.9,mww,138,164,2.364,1.4,us,us6000nyc2,2024-10-14T04:06:04.557Z,"14 km WSW of Papanoa, Mexico",earthquake,8.67,1.914,0.057,30,reviewed,us,us
2024-10-12T18:50:30.698Z,35.961,139.9069,56.538,4.9,mb,70,129,1.49,0.59,us,us6000nybc,2024-10-14T19:03:25.403Z,"3 km ENE of Noda, Japan",earthquake,3.59,7.1,0.075,58,reviewed,us,us
2024-10-12T18:17:50.994Z,10.6148,-85.9468,56.446,4.9,mb,170,143,0.659,0.62,us,us6000nyb6,2024-10-14T18:47:12.040Z,"34 km WNW of Sardinal, Costa Rica",earthquake,5.67,7.095,0.03,355,reviewed,us,us
2024-10-12T18:12:08.894Z,10.471,-86.0885,49.173,4.6,mb,105,100,0.846,0.59,us,us6000nyb0,2024-10-12T21:48:23.941Z,"33 km NW of Tamarindo, Costa Rica",earthquake,6.11,8.946,0.05,121,reviewed,us,us
2024-10-12T17:43:44.471Z,10.487,-86.1712,16,6.2,mww,225,32,0.912,0.91,us,us6000nyau,2024-10-15T09:35:15.520Z,"41 km WNW of Tamarindo, Costa Rica",earthquake,5.46,1.708,0.03,110,reviewed,us,us
2024-10-12T17:28:28.066Z,28.3481,142.7391,10,4.5,mb,35,131,1.341,0.36,us,us6000nyat,2024-10-12T21:59:15.040Z,"Bonin Islands, Japan region",earthquake,9.46,1.899,0.113,26,reviewed,us,us
2024-10-12T15:44:30.419Z,-12.3624,166.4556,62.12,4.6,mb,40,63,7.021,0.59,us,us6000nyag,2024-10-12T20:29:39.040Z,"194 km SSE of Lata, Solomon Islands",earthquake,10.93,7.999,0.097,34,reviewed,us,us
2024-10-12T15:44:17.336Z,-25.1398,178.4058,580.169,4.6,mb,34,81,5.231,0.97,us,us6000nyaf,2024-10-12T16:17:45.040Z,"south of the Fiji Islands",earthquake,15.64,10.972,0.091,38,reviewed,us,us
2024-10-12T12:55:15.197Z,-16.9047,-173.465,44.289,4.5,mb,21,126,3.392,0.86,us,us6000nya7,2024-10-12T13:29:55.040Z,"110 km SSE of Hihifo, Tonga",earthquake,11.06,8.702,0.136,16,reviewed,us,us
2024-10-12T12:26:30.046Z,33.4756,142.5706,10,4.9,mb,43,144,2.337,0.75,us,us6000ny9z,2024-10-12T13:07:46.040Z,"278 km SE of Katsuura, Japan",earthquake,9.67,1.91,0.099,32,reviewed,us,us
2024-10-12T06:32:35.178Z,-24.9437,70.012,10,4.9,mb,52,58,14.337,0.53,us,us6000ny95,2024-10-12T06:50:49.040Z,"Mid-Indian Ridge",earthquake,11.43,1.874,0.09,39,reviewed,us,us
2024-10-12T04:19:43.341Z,-18.2055,173.1592,10,5,mb,39,89,4.68,1.18,us,us6000ny8q,2024-10-12T04:48:26.040Z,"Fiji region",earthquake,10.46,1.85,0.063,82,reviewed,us,us
2024-10-12T03:50:37.285Z,55.2547,162.9232,10,5.3,mb,79,116,15.099,0.89,us,us6000ny8n,2024-10-12T04:10:00.040Z,"111 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.71,1.873,0.028,421,reviewed,us,us
2024-10-12T03:43:39.923Z,-23.671,-179.4649,527.084,4.5,mb,28,85,4.752,0.92,us,us6000ny8m,2024-10-12T04:32:53.040Z,"south of the Fiji Islands",earthquake,16.42,9.266,0.139,17,reviewed,us,us
2024-10-12T03:43:10.412Z,-56.291,-26.7113,43.302,4.9,mb,32,124,5.937,0.91,us,us6000ny8l,2024-10-12T04:20:01.040Z,"South Sandwich Islands region",earthquake,13.09,5.487,0.099,33,reviewed,us,us
2024-10-12T01:37:37.894Z,-4.7845,101.707,48.911,4.7,mb,33,167,6.873,0.96,us,us6000ny82,2024-10-12T01:58:35.040Z,"125 km SSW of Bengkulu, Indonesia",earthquake,11.53,8.774,0.104,28,reviewed,us,us
2024-10-12T01:11:57.763Z,-0.121,125.0235,48.426,5.2,mb,73,76,7.165,0.84,us,us6000ny7w,2024-10-12T01:32:53.040Z,"90 km SE of Modisi, Indonesia",earthquake,9.23,5.342,0.061,88,reviewed,us,us
2024-10-12T01:11:42.587Z,2.206,98.0418,83.98,4.5,mb,29,109,1.005,0.52,us,us6000ny7x,2024-10-12T01:42:03.040Z,"29 km ESE of Singkil, Indonesia",earthquake,12.81,8.26,0.115,22,reviewed,us,us
2024-10-12T01:06:08.222Z,-33.2558,-177.7155,10,5.4,mww,47,42,3.985,0.85,us,us6000ny7s,2024-10-13T01:09:45.781Z,"south of the Kermadec Islands",earthquake,12.53,1.724,0.083,14,reviewed,us,us
2024-10-12T00:18:24.629Z,55.3507,163.0619,10,4.8,mb,98,132,3.486,0.91,us,us6000ny7m,2024-10-12T00:38:01.040Z,"104 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.31,1.878,0.05,125,reviewed,us,us
2024-10-11T22:35:20.266Z,37.642,140.9046,102.759,4.6,mb,35,166,2.419,0.59,us,us6000ny74,2024-10-12T05:27:41.345Z,"6 km WNW of Minami-Sōma, Japan",earthquake,10.24,4.225,0.125,19,reviewed,us,us
2024-10-11T20:40:33.654Z,10.5348,-86.1604,52.464,4.5,mb,92,186,0.884,0.84,us,us6000ny6e,2024-10-12T20:28:04.040Z,"43 km NW of Tamarindo, Costa Rica",earthquake,6.29,9.7,0.054,101,reviewed,us,us
2024-10-11T19:17:33.460Z,62.7563,-148.9423,71,4.5,ml,,,,0.7,ak,ak024d3nkv0i,2024-10-14T10:57:37.261Z,"68 km ENE of Chase, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-10-11T18:05:13.281Z,-58.2922,-25.15,22.339,5,mb,95,45,7.477,0.65,us,us6000ny56,2024-10-11T18:36:43.040Z,"South Sandwich Islands region",earthquake,10.88,3.868,0.07,71,reviewed,us,us
2024-10-11T15:40:45.138Z,17.5158,-83.2656,10,4.7,mww,177,28,4.506,0.64,us,us6000ny3q,2024-10-12T17:07:01.040Z,"218 km NNE of Barra Patuca, Honduras",earthquake,7.07,1.864,0.065,23,reviewed,us,us
2024-10-11T12:54:17.034Z,55.2529,163.0569,31.066,4.5,mb,45,124,3.422,1.01,us,us6000ny2k,2024-10-11T13:29:43.040Z,"114 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,12.03,6.244,0.085,40,reviewed,us,us
2024-10-11T12:52:08.932Z,23.6899,121.4807,12.232,4.7,mb,39,88,0.341,0.78,us,us6000ny2j,2024-10-12T05:47:23.040Z,"34 km SSW of Hualien City, Taiwan",earthquake,2.57,4.27,0.108,26,reviewed,us,us
